trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.02, 'e': 0.3395955256449391}",20,2,-22.66059448503271,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.02, 'e': 0.33287108369807955}",30,0,17.0615048410009,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.02, 'e': 0.32627979462303947}",35,21,11.329995584544998,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.02, 'e': 0.31981902181630384}",20,0,-17.031344046623996,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.02, 'e': 0.3134861808826053}",20,0,3.0560458456809925,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.02, 'e': 0.30727873860113125}",25,11,11.126289723953269,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.30119421191220214}",25,0,-36.70019582545889,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.02, 'e': 0.2952301669240142}",20,0,-12.333435587985367,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
63,False,"{'a': 0.02, 'e': 0.2893842179390506}",30,3,-45.52942828087665,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.02, 'e': 0.2836540264997704}",20,7,-49.88758727285079,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.02, 'e': 0.27803730045319414}",25,11,-27.326171514802134,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.02, 'e': 0.2725317930340126}",25,17,9.251270278912056,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.02, 'e': 0.26713530196585034}",30,21,11.27942479171111,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
